Risk ID,Risk Name,Category,Description,Likelihood,Impact,Priority,Responsible Department
R001,"CCPA/CPRA 违规","数据隐私","未遵守加州消费者隐私法要求","高","高","1","法务+IT"
R002,"数据泄露","数据隐私","客户数据被未授权访问","中","高","2","IT+ 法务"
R003,"GDPR 合规","数据隐私","欧盟 GDPR 合规风险","中","高","2","法务+IT"
R011,"劳动纠纷","劳动法","员工权益和福利合规","中","中","3","HR+ 法务"
R012,"工资合规","劳动法","工资和工时规定合规","高","中","3","HR+ 法务"
R021,"产品责任","产品","产品安全和责任风险","中","高","2","产品 + 法务"
R022,"消费者保护","产品","消费者保护法合规","中","中","3","市场 + 法务"
R031,"商标侵权","知识产权","商标被侵权或未授权使用的风险","中","高","2","法务"
R032,"专利保护","知识产权","专利保护不足的风险","低","高","3","法务 + 产品"
R041,"供应商违约","合同","供应商未履行合同义务","中","中","3","采购 + 法务"
R042,"合同执行","合同","合同条款执行不力","中","低","4","法务"
R051,"监管审计","治理","面临监管审计和检查","高","中","2","法务 + 合规"
R052,"内部政策","治理","内部政策不完善或过时","中","中","3","法务+HR"
